;Plaats_Op_Lijst;Kandidaat;Geslacht;# stemmen partij;# stemmen kandidaat;Partij;Zetels;Peiling;Aantal Mannen;Aantal Vrouwen;Man_stem_percentage;Vrouw_stem_percentage;Max_Vrouwen_Volgens_Peilingen;Gekozen;aantal mannen
58;25;M.P.M. (Michiel) Holtackers;M;801620;347;CDA;13;12;39;17;60;40;12;0.0;39
59;26;E. (Elske) van der Mik;V;801620;949;CDA;13;12;39;17;60;40;12;0.0;39
60;27;D.S.C. (Dave) Ensberg-Kleijkers;M;801620;678;CDA;13;12;39;17;60;40;12;0.0;39
61;28;E. (Efstathios) Andreou;M;801620;137;CDA;13;12;39;17;60;40;12;0.0;39
62;29;W.J.F. (Wilma) van der Rijt-van der Kruis;V;801620;970;CDA;13;12;39;17;60;40;12;0.0;39
63;30;T. (Ties) Sweyen;M;801620;732;CDA;13;12;39;17;60;40;12;0.0;39
64;31;A.M.T. (Anne-Marie) Vreman-Muijrers;V;801620;406;CDA;13;12;39;17;60;40;12;0.0;39
65;32;D.Y.S. (Yang Soo) Kloosterhof;M;801620;487;CDA;13;12;39;17;60;40;12;0.0;39
66;33;N.E. (Nelleke) Weltevrede;V;801620;335;CDA;13;12;39;17;60;40;12;0.0;39
67;34;G.A. (Gerben) Karssenberg;M;801620;237;CDA;13;12;39;17;60;40;12;0.0;39
68;35;M. (Merijn) Snoek;M;801620;424;CDA;13;12;39;17;60;40;12;0.0;39
69;36;E. (Ebubekir) Öztüre;M;801620;6003;CDA;13;12;39;17;60;40;12;0.0;39
70;37;J.F. (Han) Hoogma;M;801620;1227;CDA;13;12;39;17;60;40;12;0.0;39
71;38;P.J.H.D. (Ellen) Verkoelen;V;801620;455;CDA;13;12;39;17;60;40;12;0.0;39
72;39;P.H. (Pieter) Omtzigt;M;801620;36750;CDA;13;12;39;17;60;40;12;1.0;39
73;40;J. (Jobke) Vonk-Vedder;V;801620;221;CDA;13;12;39;17;60;40;12;0.0;39
74;41;J.D.W. (Jan) Eerbeek;M;801620;369;CDA;13;12;39;17;60;40;12;0.0;39
