;Plaats_Op_Lijst;Kandidaat;Geslacht;# stemmen partij;# stemmen kandidaat;Partij;Zetels;Peiling;Aantal Mannen;Aantal Vrouwen;Man_stem_percentage;Vrouw_stem_percentage;Max_Vrouwen_Volgens_Peilingen;Gekozen;aantal mannen
243;13;T.A.O. (Trees) Janssens;V;182162;601;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
244;14;A.M.E. (Annemarie) van Gelder;V;182162;548;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
245;15;S.H.D. (Harry) Voss;M;182162;642;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
246;16;M.J.E. (Marieke) de Groot;V;182162;734;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
247;17;F. (Floriske) van Leeuwen;V;182162;375;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
248;18;A.J. (Ton) Dekker;M;182162;328;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
249;19;E.B. (Erno) Eskens;M;182162;234;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
250;20;P. (Pablo) Moleman;M;182162;330;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
251;21;M.C. (Melissa) Bax;V;182162;425;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
252;22;J. (Ingrid) Ramaan;V;182162;579;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
253;23;L.M.C. (Laura) Straver;V;182162;389;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
254;24;E.J.G. (Janet) de Jong;V;182162;440;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
255;25;J.P. (Jan Peter) Cruiming;M;182162;997;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;11
256;1;D.M. (Diederik) Samsom;M;2340750;1809856;PVDA;38;36;37;37;48;52;36;1.0;37
257;2;J. (Jetta) Klijnsma;V;2340750;192190;PVDA;38;36;37;37;48;52;36;1.0;37
258;3;R.H.A. (Ronald) Plasterk;M;2340750;58427;PVDA;38;36;37;37;48;52;36;1.0;37
259;4;T.M. (Tanja) Jadnanansing;V;2340750;28704;PVDA;38;36;37;37;48;52;36;1.0;37
260;5;J.R.V.A. (Jeroen) Dijsselbloem;M;2340750;4336;PVDA;38;36;37;37;48;52;36;1.0;37
261;6;M.I. (Mariëtte) Hamer;V;2340750;8744;PVDA;38;36;37;37;48;52;36;1.0;37
262;7;M.H.P. (Martijn) van Dam;M;2340750;4531;PVDA;38;36;37;37;48;52;36;1.0;37
263;8;F.C.G.M. (Frans) Timmermans;M;2340750;15150;PVDA;38;36;37;37;48;52;36;1.0;37
264;9;D.E. (Désirée) Bonis;V;2340750;3830;PVDA;38;36;37;37;48;52;36;1.0;37
265;10;J.W.M. (John) Kerstens;M;2340750;3050;PVDA;38;36;37;37;48;52;36;1.0;37
266;11;L. (Lutz) Jacobi;V;2340750;16082;PVDA;38;36;37;37;48;52;36;1.0;37
267;12;R.A. (Roos) Vermeij;V;2340750;2370;PVDA;38;36;37;37;48;52;36;1.0;37
268;13;H. (Henk) Nijboer;M;2340750;6448;PVDA;38;36;37;37;48;52;36;1.0;37
269;14;A. (Ahmed) Marcouch;M;2340750;13289;PVDA;38;36;37;37;48;52;36;1.0;37
270;15;A.M.C. (Angelien) Eijsink;V;2340750;1949;PVDA;38;36;37;37;48;52;36;1.0;37
271;16;M. (Myrthe) Hilkens;V;2340750;2279;PVDA;38;36;37;37;48;52;36;1.0;37
272;17;M. (Michiel) Servaes;M;2340750;658;PVDA;38;36;37;37;48;52;36;1.0;37
273;18;L.T. (Lea) Bouwmeester;V;2340750;3451;PVDA;38;36;37;37;48;52;36;1.0;37
274;19;J.S. (Jacques) Monasch;M;2340750;2193;PVDA;38;36;37;37;48;52;36;1.0;37
275;20;M.L. (Mei Li) Vos;V;2340750;8541;PVDA;38;36;37;37;48;52;36;1.0;37
276;21;J. (Jeroen) Recourt;M;2340750;789;PVDA;38;36;37;37;48;52;36;1.0;37
277;22;A.G. (Agnes) Wolbert;V;2340750;5207;PVDA;38;36;37;37;48;52;36;1.0;37
278;23;V.A. (Ed) Groot;M;2340750;598;PVDA;38;36;37;37;48;52;36;1.0;37
279;24;A.H. (Attje) Kuiken;V;2340750;3247;PVDA;38;36;37;37;48;52;36;1.0;37
280;25;P.M.M. (Pierre) Heijnen;M;2340750;896;PVDA;38;36;37;37;48;52;36;1.0;37
281;26;K. (Keklik) Demir-Yücel;V;2340750;8403;PVDA;38;36;37;37;48;52;36;1.0;37
282;27;T. (Tunahan) Kuzu;M;2340750;23067;PVDA;38;36;37;37;48;52;36;1.0;37
283;28;L. (Loes) Ypma;V;2340750;2569;PVDA;38;36;37;37;48;52;36;1.0;37
284;29;A.A. (Albert) de Vries;M;2340750;4664;PVDA;38;36;37;37;48;52;36;1.0;37
285;30;K. (Khadija) Arib;V;2340750;6625;PVDA;38;36;37;37;48;52;36;1.0;37
286;31;O.E.T. (Otwin) van Dijk;M;2340750;6884;PVDA;38;36;37;37;48;52;36;1.0;37
287;32;H. (Manon) Fokke;V;2340750;3732;PVDA;38;36;37;37;48;52;36;1.0;37
288;33;M. (Mohamed) Mohandis;M;2340750;5413;PVDA;38;36;37;37;48;52;36;1.0;37
289;34;S.W. (Sjoera) Dikkers;V;2340750;871;PVDA;38;36;37;37;48;52;36;1.0;37
290;35;T.R. (Tjeerd) van Dekken;M;2340750;5176;PVDA;38;36;37;37;48;52;36;1.0;37
291;36;R.F.A. (Astrid) Oosenbrug-Blokland;V;2340750;980;PVDA;38;36;37;37;48;52;36;1.0;37
292;37;J.C. (Jan) Vos;M;2340750;508;PVDA;38;36;37;37;48;52;36;1.0;37
293;38;M.E. (Marit) Maij;V;2340750;576;PVDA;38;36;37;37;48;52;36;1.0;37
294;39;S. (Selcuk) Öztürk;M;2340750;9831;PVDA;38;36;37;37;48;52;36;0.0;37
295;40;G.S.I.A. (Grace) Tanamal;V;2340750;867;PVDA;38;36;37;37;48;52;36;0.0;37
296;41;D. (Duco) Hoogland;M;2340750;692;PVDA;38;36;37;37;48;52;36;0.0;37
297;42;S. (Sultan) Günal-Gezer;V;2340750;1990;PVDA;38;36;37;37;48;52;36;0.0;37
298;43;R.P. (Roelof) van Laar;M;2340750;392;PVDA;38;36;37;37;48;52;36;0.0;37
299;44;Y. (Yasemin) Cegerek;V;2340750;3377;PVDA;38;36;37;37;48;52;36;0.0;37
300;45;Y. (Yasin) Torunoglu;M;2340750;3277;PVDA;38;36;37;37;48;52;36;0.0;37
301;46;M.J. (Marith) Rebel-Volp;V;2340750;623;PVDA;38;36;37;37;48;52;36;0.0;37
302;47;H.J.M. (Henk) Leenders;M;2340750;417;PVDA;38;36;37;37;48;52;36;0.0;37
303;48;J.G.P. (Joyce) Vermue;V;2340750;626;PVDA;38;36;37;37;48;52;36;0.0;37
304;49;H. (Harm) Brouwer;M;2340750;431;PVDA;38;36;37;37;48;52;36;0.0;37
305;50;A.A. (Amma) Asante;V;2340750;4549;PVDA;38;36;37;37;48;52;36;0.0;37
306;51;R. (Rien) van der Velde;M;2340750;2339;PVDA;38;36;37;37;48;52;36;0.0;37
307;52;N. (Nurten) Karisli;V;2340750;5243;PVDA;38;36;37;37;48;52;36;0.0;37
308;53;E. (Emre) Ünver;M;2340750;2016;PVDA;38;36;37;37;48;52;36;0.0;37
309;54;E.G. (Eefke) Meijerink;V;2340750;985;PVDA;38;36;37;37;48;52;36;0.0;37
310;55;A.H. (Alvin) Riley;M;2340750;473;PVDA;38;36;37;37;48;52;36;0.0;37
311;56;A.L. (Anne) Koning;V;2340750;528;PVDA;38;36;37;37;48;52;36;0.0;37
312;57;F.T.S. (Fijko) van der Laan;M;2340750;349;PVDA;38;36;37;37;48;52;36;0.0;37
313;58;A. (Anne) de Rooij;V;2340750;338;PVDA;38;36;37;37;48;52;36;0.0;37
314;59;P.J. (Paul) van Liempd;M;2340750;433;PVDA;38;36;37;37;48;52;36;0.0;37
315;60;M.W. (Marleen) Haage;V;2340750;548;PVDA;38;36;37;37;48;52;36;0.0;37
316;61;W.M. (Marijn) van Ballegooijen;M;2340750;361;PVDA;38;36;37;37;48;52;36;0.0;37
317;62;G. (Gritta) Nottelman;V;2340750;284;PVDA;38;36;37;37;48;52;36;0.0;37
318;63;E. (Bert) Hemsteede;M;2340750;248;PVDA;38;36;37;37;48;52;36;0.0;37
319;64;J.M. (Anne Marie) Hoogland;V;2340750;256;PVDA;38;36;37;37;48;52;36;0.0;37
320;65;P. (Peter) de Haan;M;2340750;335;PVDA;38;36;37;37;48;52;36;0.0;37
321;66;F.F. (Femke) van Drooge;V;2340750;401;PVDA;38;36;37;37;48;52;36;0.0;37
322;67;Y.M.M. (Yvonne) Morselt-de Ruijter;V;2340750;419;PVDA;38;36;37;37;48;52;36;0.0;37
323;68;E.H. (Ward) Deckers;M;2340750;308;PVDA;38;36;37;37;48;52;36;0.0;37
324;69;A.H.G. (Anja) van Zantvoort;V;2340750;275;PVDA;38;36;37;37;48;52;36;0.0;37
325;70;E.M. (Marieke) van Duijn;V;2340750;267;PVDA;38;36;37;37;48;52;36;0.0;37
326;71;X.J. (Xander) den Uijl;M;2340750;324;PVDA;38;36;37;37;48;52;36;0.0;37
327;72;S.E.A. (Saskia) den Uijl;V;2340750;621;PVDA;38;36;37;37;48;52;36;0.0;37
328;73;M. (Mohamed) Allach;M;2340750;1482;PVDA;38;36;37;37;48;52;36;0.0;37
329;74;M. (Maarten) van Rossem;M;2340750;5929;PVDA;38;36;37;37;48;52;36;0.0;37
330;1;G. (Geert) Wilders;M;950263;886314;PVV;15;18;35;14;56;44;14;1.0;35
331;2;M. (Fleur) Agema;V;950263;34943;PVV;15;18;35;14;56;44;14;1.0;35
332;3;M. (Martin) Bosma;M;950263;3808;PVV;15;18;35;14;56;44;14;1.0;35
333;4;L.M.J.S. (Lilian) Helder;V;950263;3794;PVV;15;18;35;14;56;44;14;1.0;35
334;5;L. (Louis) Bontes;M;950263;958;PVV;15;18;35;14;56;44;14;1.0;35
335;6;A.P.C. (Tony) van Dijck;M;950263;590;PVV;15;18;35;14;56;44;14;1.0;35
336;7;S.R. (Sietse) Fritsma;M;950263;644;PVV;15;18;35;14;56;44;14;1.0;35
337;8;B. (Barry) Madlener;M;950263;829;PVV;15;18;35;14;56;44;14;1.0;35
338;9;J.J. (Joram) van Klaveren;M;950263;581;PVV;15;18;35;14;56;44;14;1.0;35
339;10;H.J. (Harm) Beertema;M;950263;433;PVV;15;18;35;14;56;44;14;1.0;35
340;11;D.J.G. (Dion) Graus;M;950263;2387;PVV;15;18;35;14;56;44;14;1.0;35
341;12;R.J. (Reinette) Klever;V;950263;694;PVV;15;18;35;14;56;44;14;1.0;35
342;13;R.A. (Roland) van Vliet;M;950263;1113;PVV;15;18;35;14;56;44;14;1.0;35
343;14;R. (Raymond) de Roon;M;950263;347;PVV;15;18;35;14;56;44;14;1.0;35
344;15;M. (Machiel) de Graaf;M;950263;376;PVV;15;18;35;14;56;44;14;1.0;35
345;16;K. (Karen) Gerbrands;V;950263;342;PVV;15;18;35;14;56;44;14;0.0;35
346;17;L.W.E. (Léon) de Jong;M;950263;435;PVV;15;18;35;14;56;44;14;0.0;35
347;18;V.D.D. (Danai) van Weerdenburg;V;950263;461;PVV;15;18;35;14;56;44;14;0.0;35
348;19;I.H.C. (Ino) van den Besselaar;M;950263;386;PVV;15;18;35;14;56;44;14;0.0;35
349;20;A. (Andre) Elissen;M;950263;221;PVV;15;18;35;14;56;44;14;0.0;35
350;21;V. (Vicky) Maeijer;V;950263;423;PVV;15;18;35;14;56;44;14;0.0;35
351;22;J.H.A. (Johan) Driessen;M;950263;143;PVV;15;18;35;14;56;44;14;0.0;35
352;23;W.R. (Willie) Dille;V;950263;230;PVV;15;18;35;14;56;44;14;0.0;35
353;24;D. (Daniël) ter Haar;M;950263;890;PVV;15;18;35;14;56;44;14;0.0;35
354;25;S.S. (Stephan) Jansen;M;950263;247;PVV;15;18;35;14;56;44;14;0.0;35
355;26;H.W. (Marc) van den Berg;M;950263;362;PVV;15;18;35;14;56;44;14;0.0;35
356;27;A. (Alexander) Kops;M;950263;229;PVV;15;18;35;14;56;44;14;0.0;35
357;28;E. (Edgar) Mulder;M;950263;531;PVV;15;18;35;14;56;44;14;0.0;35
358;29;G.J.F. (Gabriëlle) Popken;V;950263;210;PVV;15;18;35;14;56;44;14;0.0;35
359;30;P.R. (Paul) ter Linden;M;950263;288;PVV;15;18;35;14;56;44;14;0.0;35
360;31;G.P.N. (Gijs) Moonen;M;950263;84;PVV;15;18;35;14;56;44;14;0.0;35
361;32;P. (Patricia) van der Kammen;V;950263;627;PVV;15;18;35;14;56;44;14;0.0;35
362;33;E.J. (Elly) Broere-Kaal;V;950263;212;PVV;15;18;35;14;56;44;14;0.0;35
363;34;A.S. (Addie) Wisse;V;950263;460;PVV;15;18;35;14;56;44;14;0.0;35
364;35;Y.R.K. (Yvonne) Waterman;V;950263;359;PVV;15;18;35;14;56;44;14;0.0;35
365;36;A.W.J.A. (Alexander) van Hattem;M;950263;213;PVV;15;18;35;14;56;44;14;0.0;35
366;37;J.D. (Jenny) Zerfowski;V;950263;210;PVV;15;18;35;14;56;44;14;0.0;35
367;38;A.J.M. (Ton) van Kesteren;M;950263;955;PVV;15;18;35;14;56;44;14;0.0;35
368;39;F. (Floris) van Zonneveld;M;950263;223;PVV;15;18;35;14;56;44;14;0.0;35
369;40;I.B. (Irene) Joosse;V;950263;265;PVV;15;18;35;14;56;44;14;0.0;35
370;41;J.W. (John) van Assendelft;M;950263;136;PVV;15;18;35;14;56;44;14;0.0;35
371;42;M.J. (Martin) van Beek;M;950263;90;PVV;15;18;35;14;56;44;14;0.0;35
372;43;W. (Willem) Boutkan;M;950263;76;PVV;15;18;35;14;56;44;14;0.0;35
373;44;E. (Emiel) van Dijk;M;950263;199;PVV;15;18;35;14;56;44;14;0.0;35
374;45;P. (Peter) van Dijk;M;950263;412;PVV;15;18;35;14;56;44;14;0.0;35
375;46;R. (Ronald) Dol;M;950263;332;PVV;15;18;35;14;56;44;14;0.0;35
376;47;J.J.A.M. (Johannes) van Hooff;M;950263;100;PVV;15;18;35;14;56;44;14;0.0;35
377;48;M.J.R.L. (Marcel) de Graaff;M;950263;157;PVV;15;18;35;14;56;44;14;0.0;35
378;49;R. (Ronald) Sörensen;M;950263;1944;PVV;15;18;35;14;56;44;14;0.0;35
379;1;C.G. (Kees) van der Staaij;M;196780;182189;SGP;3;3;30;0;49;51;0;1.0;30
380;2;E. (Elbert) Dijkgraaf;M;196780;5436;SGP;3;3;30;0;49;51;0;1.0;30
381;3;R. (Roelof) Bisschop;M;196780;2234;SGP;3;3;30;0;49;51;0;1.0;30
382;4;S. (Servaas) Stoop;M;196780;765;SGP;3;3;30;0;49;51;0;0.0;30
383;5;J.P. (Hans) Tanis;M;196780;347;SGP;3;3;30;0;49;51;0;0.0;30
384;6;D.J.H. (Diederik) van Dijk;M;196780;243;SGP;3;3;30;0;49;51;0;0.0;30
385;7;G.P. (Geert) Schipaanboord;M;196780;486;SGP;3;3;30;0;49;51;0;0.0;30
386;8;A. (Arnold) Weggeman;M;196780;256;SGP;3;3;30;0;49;51;0;0.0;30
387;9;W.J. (Wim) van Duijn;M;196780;598;SGP;3;3;30;0;49;51;0;0.0;30
388;10;P.A. (Peter) Zevenbergen;M;196780;204;SGP;3;3;30;0;49;51;0;0.0;30
389;11;A.J.C. (Christian) van Bemmel;M;196780;204;SGP;3;3;30;0;49;51;0;0.0;30
390;12;L. (Leendert) de Knegt;M;196780;426;SGP;3;3;30;0;49;51;0;0.0;30
391;13;S. (Sytse) de Jong;M;196780;321;SGP;3;3;30;0;49;51;0;0.0;30
392;14;M. (Rien) Bogerd;M;196780;519;SGP;3;3;30;0;49;51;0;0.0;30
393;15;D. (Dick) van Meeuwen;M;196780;216;SGP;3;3;30;0;49;51;0;0.0;30
394;16;T. (Teun) van Oostenbrugge;M;196780;354;SGP;3;3;30;0;49;51;0;0.0;30
395;17;E.G. (Ewart) Bosma;M;196780;283;SGP;3;3;30;0;49;51;0;0.0;30
396;18;J. (Jan) Noeverman;M;196780;103;SGP;3;3;30;0;49;51;0;0.0;30
397;19;T. (Tom) Bakker;M;196780;137;SGP;3;3;30;0;49;51;0;0.0;30
398;20;R.A.C. (Richard) Donk;M;196780;91;SGP;3;3;30;0;49;51;0;0.0;30
399;21;J.J. (Jan) Luteijn;M;196780;94;SGP;3;3;30;0;49;51;0;0.0;30
400;22;M. (Marcel) de Haas;M;196780;104;SGP;3;3;30;0;49;51;0;0.0;30
401;23;L.G.I. (Leo) Barth;M;196780;81;SGP;3;3;30;0;49;51;0;0.0;30
402;24;P. (Peter) Schalk;M;196780;146;SGP;3;3;30;0;49;51;0;0.0;30
403;25;W. (Wim) van Wikselaar;M;196780;84;SGP;3;3;30;0;49;51;0;0.0;30
404;26;H. (Henk) Kievit;M;196780;84;SGP;3;3;30;0;49;51;0;0.0;30
405;27;A.I.G. (Ad) Dorst;M;196780;262;SGP;3;3;30;0;49;51;0;0.0;30
406;28;H.F. (Henk) Massink;M;196780;75;SGP;3;3;30;0;49;51;0;0.0;30
407;29;W. (Wim) de Vries;M;196780;134;SGP;3;3;30;0;49;51;0;0.0;30
408;30;J.W. (Jan Willem) Benschop;M;196780;304;SGP;3;3;30;0;49;51;0;0.0;30
409;1;E.G.M. (Emile) Roemer;M;909853;755765;SP;15;20;29;16;43;57;16;1.0;29
410;2;R.M. (Renske) Leijten;V;909853;69146;SP;15;20;29;16;43;57;16;1.0;29
411;3;A.A.G.M. (Ronald) van Raak;M;909853;4527;SP;15;20;29;16;43;57;16;1.0;29
412;4;H. (Harry) van Bommel;M;909853;10021;SP;15;20;29;16;43;57;16;1.0;29
413;5;J.M.A.M. (Jan) de Wit;M;909853;8977;SP;15;20;29;16;43;57;16;1.0;29
414;6;S. (Sadet) Karabulut;V;909853;10572;SP;15;20;29;16;43;57;16;1.0;29
415;7;S.M.J.G. (Sharon) Gesthuizen;V;909853;5155;SP;15;20;29;16;43;57;16;1.0;29
416;8;J.J. (Jasper) van Dijk;M;909853;1506;SP;15;20;29;16;43;57;16;1.0;29
417;9;P. (Paul) Ulenbelt;M;909853;958;SP;15;20;29;16;43;57;16;1.0;29
418;10;H.P.J. (Henk) van Gerven;M;909853;2111;SP;15;20;29;16;43;57;16;1.0;29
419;11;M. (Manja) Smits;V;909853;2783;SP;15;20;29;16;43;57;16;1.0;29
420;12;P.F.C. (Paulus) Jansen;M;909853;994;SP;15;20;29;16;43;57;16;1.0;29
421;13;F. (Farshad) Bashir;M;909853;2065;SP;15;20;29;16;43;57;16;1.0;29
422;14;C.J.E. (Nine) Kooiman;V;909853;1435;SP;15;20;29;16;43;57;16;1.0;29
423;15;A.Z. (Arnold) Merkies;M;909853;343;SP;15;20;29;16;43;57;16;1.0;29
424;16;E.M.A. (Eric) Smaling;M;909853;626;SP;15;20;29;16;43;57;16;0.0;29
425;17;M. (Michiel) van Nispen;M;909853;1206;SP;15;20;29;16;43;57;16;0.0;29
426;18;T.E. (Tjitske) Siderius;V;909853;3009;SP;15;20;29;16;43;57;16;0.0;29
427;19;L.P.M. (Leo) de Kleijn;M;909853;1393;SP;15;20;29;16;43;57;16;0.0;29
428;20;I. (Ike) Teuling;V;909853;1434;SP;15;20;29;16;43;57;16;0.0;29
429;21;N.M. (Nicole) van Gemert;V;909853;1469;SP;15;20;29;16;43;57;16;0.0;29
430;22;H.A.J.M. (Henri) Swinkels;M;909853;880;SP;15;20;29;16;43;57;16;0.0;29
431;23;M.M. (Maureen) van der Pligt;V;909853;871;SP;15;20;29;16;43;57;16;0.0;29
432;24;H.P.M. (Maarten) Hijink;M;909853;283;SP;15;20;29;16;43;57;16;0.0;29
433;25;N.T. (Tiers) Bakker;M;909853;400;SP;15;20;29;16;43;57;16;0.0;29
434;26;E. (Erik) de Vries;M;909853;982;SP;15;20;29;16;43;57;16;0.0;29
435;27;D.H. (Daniël) de Wit;M;909853;417;SP;15;20;29;16;43;57;16;0.0;29
436;28;A.M.T. (Anneke) Wezel;V;909853;589;SP;15;20;29;16;43;57;16;0.0;29
437;29;T.H.C. (Thijs) Coppus;M;909853;1443;SP;15;20;29;16;43;57;16;0.0;29
438;30;M.P. (Meta) Meijer;V;909853;359;SP;15;20;29;16;43;57;16;0.0;29
439;31;P.J. (Patrick) van Lunteren;M;909853;441;SP;15;20;29;16;43;57;16;0.0;29
440;32;C. (Chris) Schaeffer;M;909853;130;SP;15;20;29;16;43;57;16;0.0;29
441;33;F. (Femke) Reudler Talsma;V;909853;400;SP;15;20;29;16;43;57;16;0.0;29
442;34;H.J. (Hugo) Polderman;M;909853;360;SP;15;20;29;16;43;57;16;0.0;29
443;35;J.P. (Peter) Kwint;M;909853;290;SP;15;20;29;16;43;57;16;0.0;29
444;36;P.H. (Pim) Siegers;M;909853;1035;SP;15;20;29;16;43;57;16;0.0;29
445;37;R. (Lies) van Aelst;V;909853;598;SP;15;20;29;16;43;57;16;0.0;29
446;38;B. (Bart) van Kent;M;909853;149;SP;15;20;29;16;43;57;16;0.0;29
447;39;N.A. (Niels) Jongerius;M;909853;175;SP;15;20;29;16;43;57;16;0.0;29
448;40;L. (Lieke) van Rossum;V;909853;691;SP;15;20;29;16;43;57;16;0.0;29
449;41;H.M. (Hans Martin) Don;M;909853;500;SP;15;20;29;16;43;57;16;0.0;29
450;42;E. (Eelco) Eikenaar;M;909853;1360;SP;15;20;29;16;43;57;16;0.0;29
451;43;J.W. (Willem) Bouman;M;909853;584;SP;15;20;29;16;43;57;16;0.0;29
452;44;B. (Trix) de Roos-Consemulder;V;909853;1613;SP;15;20;29;16;43;57;16;0.0;29
453;45;J. (Jamila) Yahyaoui;V;909853;1803;SP;15;20;29;16;43;57;16;0.0;29
454;1;M. (Mark) Rutte;M;2504948;2129000;VVD;41;36;51;24;57;43;24;1.0;51
455;2;E.I. (Edith) Schippers;V;2504948;123889;VVD;41;36;51;24;57;43;24;1.0;51
456;3;S.A. (Stef) Blok;M;2504948;9316;VVD;41;36;51;24;57;43;24;1.0;51
457;4;A. (Anouchka) van Miltenburg;V;2504948;13677;VVD;41;36;51;24;57;43;24;1.0;51
458;5;F. (Fred) Teeven;M;2504948;35103;VVD;41;36;51;24;57;43;24;1.0;51
459;6;J.A. (Jeanine) Hennis-Plasschaert;V;2504948;39197;VVD;41;36;51;24;57;43;24;1.0;51
460;7;H. (Halbe) Zijlstra;M;2504948;4285;VVD;41;36;51;24;57;43;24;1.0;51
461;8;F.H.H. (Frans) Weekers;M;2504948;12409;VVD;41;36;51;24;57;43;24;1.0;51
462;9;M.G.J. (Mark) Harbers;M;2504948;3234;VVD;41;36;51;24;57;43;24;1.0;51
463;10;T. (Tamara) Venrooy-van Ark;V;2504948;4343;VVD;41;36;51;24;57;43;24;1.0;51
464;11;B.G. (Betty) de Boer;V;2504948;7786;VVD;41;36;51;24;57;43;24;1.0;51
465;12;J.H. (Han) ten Broeke;M;2504948;14403;VVD;41;36;51;24;57;43;24;1.0;51
466;13;C. (Cora) van Nieuwenhuizen-Wijbenga;V;2504948;4636;VVD;41;36;51;24;57;43;24;1.0;51
467;14;H. (Helma) Neppérus;V;2504948;1904;VVD;41;36;51;24;57;43;24;1.0;51
468;15;G.A. (Ard) van der Steur;M;2504948;2021;VVD;41;36;51;24;57;43;24;1.0;51
469;16;K.H.D.M. (Klaas) Dijkhoff;M;2504948;3200;VVD;41;36;51;24;57;43;24;1.0;51
470;17;T.M.C. (Ton) Elias;M;2504948;1555;VVD;41;36;51;24;57;43;24;1.0;51
471;18;A. (Anne) Mulder;M;2504948;1204;VVD;41;36;51;24;57;43;24;1.0;51
472;19;M.L. (Mark) Verheijen;M;2504948;8993;VVD;41;36;51;24;57;43;24;1.0;51
473;20;M. (Malik) Azmani;M;2504948;1874;VVD;41;36;51;24;57;43;24;1.0;51
474;21;B. (Barbara) Visser;V;2504948;3509;VVD;41;36;51;24;57;43;24;1.0;51
475;22;W.J.H. (Helma) Lodders;V;2504948;3734;VVD;41;36;51;24;57;43;24;1.0;51
476;23;P.J. (Pieter) Duisenberg;M;2504948;2862;VVD;41;36;51;24;57;43;24;1.0;51
477;24;E. (Erik) Ziengs;M;2504948;8948;VVD;41;36;51;24;57;43;24;1.0;51
478;25;P.J.M. (Pieter) Litjens;M;2504948;2010;VVD;41;36;51;24;57;43;24;1.0;51
479;26;B.I. (Brigitte) van der Burg;V;2504948;1303;VVD;41;36;51;24;57;43;24;1.0;51
480;27;B. (Bas) van 't Wout;M;2504948;1178;VVD;41;36;51;24;57;43;24;1.0;51
481;28;A.W. (Anne-Wil) Lucas-Smeerdijk;V;2504948;1733;VVD;41;36;51;24;57;43;24;1.0;51
482;29;A. (André) Bosman;M;2504948;6732;VVD;41;36;51;24;57;43;24;1.0;51
483;30;R.W. (René) Leegte;M;2504948;3319;VVD;41;36;51;24;57;43;24;1.0;51
484;31;R.J. (Remco) Dijkstra;M;2504948;1130;VVD;41;36;51;24;57;43;24;1.0;51
485;32;O.C. (Ockje) Tellegen;V;2504948;1470;VVD;41;36;51;24;57;43;24;1.0;51
486;33;F. (Foort) van Oosten;M;2504948;634;VVD;41;36;51;24;57;43;24;1.0;51
487;34;K.C.J. (Karin) Straus;V;2504948;6800;VVD;41;36;51;24;57;43;24;1.0;51
488;35;M.E. (Matthijs) Huizing;M;2504948;1194;VVD;41;36;51;24;57;43;24;1.0;51
489;36;B.C. (Bart) de Liefde;M;2504948;2163;VVD;41;36;51;24;57;43;24;1.0;51
490;37;M.S. (Michiel) van Veen;M;2504948;1305;VVD;41;36;51;24;57;43;24;1.0;51
491;38;A.C.L. (Arno) Rutte;M;2504948;1874;VVD;41;36;51;24;57;43;24;1.0;51
492;39;Y. (Ybeltje) Berckmoes-Duindam;V;2504948;1196;VVD;41;36;51;24;57;43;24;1.0;51
493;40;A. (Anoushka) Schut-Welkzijn;V;2504948;860;VVD;41;36;51;24;57;43;24;1.0;51
494;41;I.S.H. (Ingrid) de Caluwé;V;2504948;556;VVD;41;36;51;24;57;43;24;1.0;51
495;42;R.E. (Roald) van der Linde;M;2504948;857;VVD;41;36;51;24;57;43;24;0.0;51
496;43;J. (Johan) Houwers;M;2504948;3709;VVD;41;36;51;24;57;43;24;0.0;51
497;44;J. (Joost) Taverne;M;2504948;2207;VVD;41;36;51;24;57;43;24;0.0;51
498;45;A. (Aukje) de Vries;V;2504948;1352;VVD;41;36;51;24;57;43;24;0.0;51
499;46;R. (Ronald) Vuijk;M;2504948;204;VVD;41;36;51;24;57;43;24;0.0;51
500;47;S.C.C.M. (Sjoerd) Potters;M;2504948;443;VVD;41;36;51;24;57;43;24;0.0;51
501;48;R.J. (Rudmer) Heerema;M;2504948;777;VVD;41;36;51;24;57;43;24;0.0;51
502;49;H.S. (Hayke) Veldman;M;2504948;728;VVD;41;36;51;24;57;43;24;0.0;51
503;50;P.J.M.J. (Perjan) Moors;M;2504948;1225;VVD;41;36;51;24;57;43;24;0.0;51
504;51;J. (Jeroen) van Wijngaarden;M;2504948;1974;VVD;41;36;51;24;57;43;24;0.0;51
505;52;C.N.A. (Chantal) Nijkerken-de Haan;V;2504948;1536;VVD;41;36;51;24;57;43;24;0.0;51
506;53;L.A. (Leendert) de Lange;M;2504948;709;VVD;41;36;51;24;57;43;24;0.0;51
507;54;R.P.G. (Remco) Bosma;M;2504948;406;VVD;41;36;51;24;57;43;24;0.0;51
508;55;N. (Nina) Hofstra;V;2504948;576;VVD;41;36;51;24;57;43;24;0.0;51
509;56;D.A. (Daniël) van der Ree;M;2504948;245;VVD;41;36;51;24;57;43;24;0.0;51
