;Plaats_Op_Lijst;Kandidaat;Geslacht;# stemmen partij;# stemmen kandidaat;Partij;Zetels;Peiling;Aantal Mannen;Aantal Vrouwen;Man_stem_percentage;Vrouw_stem_percentage;Max_Vrouwen_Volgens_Peilingen;Gekozen;# stemmen partij peiling;man-vrouw stemmen percentage peiling
223;35;B.S. (Bart) Eigeman;M;247028;419;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
224;36;G.J. (Gerdo) van Grootheest;M;247028;369;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
225;37;J. (Judith) Sargentini;V;247028;246;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
226;38;B. (Bas) Eickhout;M;247028;159;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
227;39;M. (Marije) Cornelissen;V;247028;130;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
228;40;K.M. (Kathalijne) Buitenweg;V;247028;573;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
229;41;P. (Pascal) ten Have;M;247028;148;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
230;42;A.C. (Andrée) van Es;V;247028;2388;GROENLINKS;4;4;24;18;52;48;4;0.0;248948.8;0.5
231;1;M.L. (Marianne) Thieme;V;185271;154155;Partij voor de Dieren;2;3;11;14;49;51;3;1.0;186711.6;0.5
232;2;E. (Esther) Ouwehand;V;185271;11573;Partij voor de Dieren;2;3;11;14;49;51;3;1.0;186711.6;0.5
233;3;F.P. (Frank) Wassenberg;M;185271;2677;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
234;4;A.A.H. (Anja) Hazekamp;V;185271;1575;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
235;5;J.F.W. (Johnas) van Lammeren;M;185271;1320;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
236;6;A.E. (Bram) van Liere;M;185271;620;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
237;7;B.E.J.M. (Birgit) Verstappen;V;185271;844;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
238;8;G.J. (Gerjan) Kelder;M;185271;693;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
239;9;L.R. (Luuk) van der Veer;M;185271;450;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
240;10;D.W. (Diederik) van Liere;M;185271;444;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
241;11;I. (Ida) Been;V;185271;651;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
242;12;A.C. (Corinne) Cornelisse;V;185271;538;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
243;13;T.A.O. (Trees) Janssens;V;185271;601;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
244;14;A.M.E. (Annemarie) van Gelder;V;185271;548;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
245;15;S.H.D. (Harry) Voss;M;185271;642;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
246;16;M.J.E. (Marieke) de Groot;V;185271;734;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
247;17;F. (Floriske) van Leeuwen;V;185271;375;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
248;18;A.J. (Ton) Dekker;M;185271;328;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
249;19;E.B. (Erno) Eskens;M;185271;234;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
250;20;P. (Pablo) Moleman;M;185271;330;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
251;21;M.C. (Melissa) Bax;V;185271;425;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
252;22;J. (Ingrid) Ramaan;V;185271;579;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
253;23;L.M.C. (Laura) Straver;V;185271;389;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
254;24;E.J.G. (Janet) de Jong;V;185271;440;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
255;25;J.P. (Jan Peter) Cruiming;M;185271;997;Partij voor de Dieren;2;3;11;14;49;51;3;0.0;186711.6;0.5
256;1;D.M. (Diederik) Samsom;M;2223254;1809856;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
257;2;J. (Jetta) Klijnsma;V;2223254;192190;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
258;3;R.H.A. (Ronald) Plasterk;M;2223254;58427;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
259;4;T.M. (Tanja) Jadnanansing;V;2223254;28704;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
260;5;J.R.V.A. (Jeroen) Dijsselbloem;M;2223254;4336;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
261;6;M.I. (Mariëtte) Hamer;V;2223254;8744;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
262;7;M.H.P. (Martijn) van Dam;M;2223254;4531;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
263;8;F.C.G.M. (Frans) Timmermans;M;2223254;15150;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
264;9;D.E. (Désirée) Bonis;V;2223254;3830;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
265;10;J.W.M. (John) Kerstens;M;2223254;3050;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
266;11;L. (Lutz) Jacobi;V;2223254;16082;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
267;12;R.A. (Roos) Vermeij;V;2223254;2370;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
268;13;H. (Henk) Nijboer;M;2223254;6448;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
269;14;A. (Ahmed) Marcouch;M;2223254;13289;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
270;15;A.M.C. (Angelien) Eijsink;V;2223254;1949;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
271;16;M. (Myrthe) Hilkens;V;2223254;2279;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
272;17;M. (Michiel) Servaes;M;2223254;658;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
273;18;L.T. (Lea) Bouwmeester;V;2223254;3451;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
274;19;J.S. (Jacques) Monasch;M;2223254;2193;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
275;20;M.L. (Mei Li) Vos;V;2223254;8541;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
276;21;J. (Jeroen) Recourt;M;2223254;789;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
277;22;A.G. (Agnes) Wolbert;V;2223254;5207;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
278;23;V.A. (Ed) Groot;M;2223254;598;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
279;24;A.H. (Attje) Kuiken;V;2223254;3247;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
280;25;P.M.M. (Pierre) Heijnen;M;2223254;896;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
281;26;K. (Keklik) Demir-Yücel;V;2223254;8403;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
282;27;T. (Tunahan) Kuzu;M;2223254;23067;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
283;28;L. (Loes) Ypma;V;2223254;2569;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
284;29;A.A. (Albert) de Vries;M;2223254;4664;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
285;30;K. (Khadija) Arib;V;2223254;6625;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
286;31;O.E.T. (Otwin) van Dijk;M;2223254;6884;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
287;32;H. (Manon) Fokke;V;2223254;3732;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
288;33;M. (Mohamed) Mohandis;M;2223254;5413;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
289;34;S.W. (Sjoera) Dikkers;V;2223254;871;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
290;35;T.R. (Tjeerd) van Dekken;M;2223254;5176;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
291;36;R.F.A. (Astrid) Oosenbrug-Blokland;V;2223254;980;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
292;37;J.C. (Jan) Vos;M;2223254;508;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
293;38;M.E. (Marit) Maij;V;2223254;576;PVDA;38;36;37;37;48;52;36;1.0;2240539.2;0.5
294;39;S. (Selcuk) Öztürk;M;2223254;9831;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
295;40;G.S.I.A. (Grace) Tanamal;V;2223254;867;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
296;41;D. (Duco) Hoogland;M;2223254;692;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
297;42;S. (Sultan) Günal-Gezer;V;2223254;1990;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
298;43;R.P. (Roelof) van Laar;M;2223254;392;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
299;44;Y. (Yasemin) Cegerek;V;2223254;3377;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
300;45;Y. (Yasin) Torunoglu;M;2223254;3277;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
301;46;M.J. (Marith) Rebel-Volp;V;2223254;623;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
302;47;H.J.M. (Henk) Leenders;M;2223254;417;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
303;48;J.G.P. (Joyce) Vermue;V;2223254;626;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
304;49;H. (Harm) Brouwer;M;2223254;431;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
305;50;A.A. (Amma) Asante;V;2223254;4549;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
306;51;R. (Rien) van der Velde;M;2223254;2339;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
307;52;N. (Nurten) Karisli;V;2223254;5243;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
308;53;E. (Emre) Ünver;M;2223254;2016;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
309;54;E.G. (Eefke) Meijerink;V;2223254;985;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
310;55;A.H. (Alvin) Riley;M;2223254;473;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
311;56;A.L. (Anne) Koning;V;2223254;528;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
312;57;F.T.S. (Fijko) van der Laan;M;2223254;349;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
313;58;A. (Anne) de Rooij;V;2223254;338;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
314;59;P.J. (Paul) van Liempd;M;2223254;433;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
315;60;M.W. (Marleen) Haage;V;2223254;548;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
316;61;W.M. (Marijn) van Ballegooijen;M;2223254;361;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
317;62;G. (Gritta) Nottelman;V;2223254;284;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
318;63;E. (Bert) Hemsteede;M;2223254;248;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
319;64;J.M. (Anne Marie) Hoogland;V;2223254;256;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
320;65;P. (Peter) de Haan;M;2223254;335;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
321;66;F.F. (Femke) van Drooge;V;2223254;401;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
322;67;Y.M.M. (Yvonne) Morselt-de Ruijter;V;2223254;419;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
323;68;E.H. (Ward) Deckers;M;2223254;308;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
324;69;A.H.G. (Anja) van Zantvoort;V;2223254;275;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
325;70;E.M. (Marieke) van Duijn;V;2223254;267;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
326;71;X.J. (Xander) den Uijl;M;2223254;324;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
327;72;S.E.A. (Saskia) den Uijl;V;2223254;621;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
328;73;M. (Mohamed) Allach;M;2223254;1482;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
329;74;M. (Maarten) van Rossem;M;2223254;5929;PVDA;38;36;37;37;48;52;36;0.0;2240539.2;0.5
330;1;G. (Geert) Wilders;M;1111627;886314;PVV;15;18;35;14;56;44;14;1.0;1120269.6;0.5
331;2;M. (Fleur) Agema;V;1111627;34943;PVV;15;18;35;14;56;44;14;1.0;1120269.6;0.5
332;3;M. (Martin) Bosma;M;1111627;3808;PVV;15;18;35;14;56;44;14;1.0;1120269.6;0.5
333;4;L.M.J.S. (Lilian) Helder;V;1111627;3794;PVV;15;18;35;14;56;44;14;1.0;1120269.6;0.5
334;5;L. (Louis) Bontes;M;1111627;958;PVV;15;18;35;14;56;44;14;1.0;1120269.6;0.5
335;6;A.P.C. (Tony) van Dijck;M;1111627;590;PVV;15;18;35;14;56;44;14;1.0;1120269.6;0.5
336;7;S.R. (Sietse) Fritsma;M;1111627;644;PVV;15;18;35;14;56;44;14;1.0;1120269.6;0.5
337;8;B. (Barry) Madlener;M;1111627;829;PVV;15;18;35;14;56;44;14;1.0;1120269.6;0.5
338;9;J.J. (Joram) van Klaveren;M;1111627;581;PVV;15;18;35;14;56;44;14;1.0;1120269.6;0.5
339;10;H.J. (Harm) Beertema;M;1111627;433;PVV;15;18;35;14;56;44;14;1.0;1120269.6;0.5
340;11;D.J.G. (Dion) Graus;M;1111627;2387;PVV;15;18;35;14;56;44;14;1.0;1120269.6;0.5
341;12;R.J. (Reinette) Klever;V;1111627;694;PVV;15;18;35;14;56;44;14;1.0;1120269.6;0.5
342;13;R.A. (Roland) van Vliet;M;1111627;1113;PVV;15;18;35;14;56;44;14;1.0;1120269.6;0.5
343;14;R. (Raymond) de Roon;M;1111627;347;PVV;15;18;35;14;56;44;14;1.0;1120269.6;0.5
344;15;M. (Machiel) de Graaf;M;1111627;376;PVV;15;18;35;14;56;44;14;1.0;1120269.6;0.5
345;16;K. (Karen) Gerbrands;V;1111627;342;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
346;17;L.W.E. (Léon) de Jong;M;1111627;435;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
347;18;V.D.D. (Danai) van Weerdenburg;V;1111627;461;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
348;19;I.H.C. (Ino) van den Besselaar;M;1111627;386;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
349;20;A. (Andre) Elissen;M;1111627;221;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
350;21;V. (Vicky) Maeijer;V;1111627;423;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
351;22;J.H.A. (Johan) Driessen;M;1111627;143;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
352;23;W.R. (Willie) Dille;V;1111627;230;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
353;24;D. (Daniël) ter Haar;M;1111627;890;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
354;25;S.S. (Stephan) Jansen;M;1111627;247;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
355;26;H.W. (Marc) van den Berg;M;1111627;362;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
356;27;A. (Alexander) Kops;M;1111627;229;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
357;28;E. (Edgar) Mulder;M;1111627;531;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
358;29;G.J.F. (Gabriëlle) Popken;V;1111627;210;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
359;30;P.R. (Paul) ter Linden;M;1111627;288;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
360;31;G.P.N. (Gijs) Moonen;M;1111627;84;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
361;32;P. (Patricia) van der Kammen;V;1111627;627;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
362;33;E.J. (Elly) Broere-Kaal;V;1111627;212;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
363;34;A.S. (Addie) Wisse;V;1111627;460;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
364;35;Y.R.K. (Yvonne) Waterman;V;1111627;359;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
365;36;A.W.J.A. (Alexander) van Hattem;M;1111627;213;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
366;37;J.D. (Jenny) Zerfowski;V;1111627;210;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
367;38;A.J.M. (Ton) van Kesteren;M;1111627;955;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
368;39;F. (Floris) van Zonneveld;M;1111627;223;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
369;40;I.B. (Irene) Joosse;V;1111627;265;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
370;41;J.W. (John) van Assendelft;M;1111627;136;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
371;42;M.J. (Martin) van Beek;M;1111627;90;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
372;43;W. (Willem) Boutkan;M;1111627;76;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
373;44;E. (Emiel) van Dijk;M;1111627;199;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
374;45;P. (Peter) van Dijk;M;1111627;412;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
375;46;R. (Ronald) Dol;M;1111627;332;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
376;47;J.J.A.M. (Johannes) van Hooff;M;1111627;100;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
377;48;M.J.R.L. (Marcel) de Graaff;M;1111627;157;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
378;49;R. (Ronald) Sörensen;M;1111627;1944;PVV;15;18;35;14;56;44;14;0.0;1120269.6;0.5
379;1;C.G. (Kees) van der Staaij;M;185271;182189;SGP;3;3;30;0;49;51;0;1.0;186711.6;0.5
380;2;E. (Elbert) Dijkgraaf;M;185271;5436;SGP;3;3;30;0;49;51;0;1.0;186711.6;0.5
381;3;R. (Roelof) Bisschop;M;185271;2234;SGP;3;3;30;0;49;51;0;1.0;186711.6;0.5
382;4;S. (Servaas) Stoop;M;185271;765;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
383;5;J.P. (Hans) Tanis;M;185271;347;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
384;6;D.J.H. (Diederik) van Dijk;M;185271;243;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
385;7;G.P. (Geert) Schipaanboord;M;185271;486;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
386;8;A. (Arnold) Weggeman;M;185271;256;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
387;9;W.J. (Wim) van Duijn;M;185271;598;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
388;10;P.A. (Peter) Zevenbergen;M;185271;204;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
389;11;A.J.C. (Christian) van Bemmel;M;185271;204;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
390;12;L. (Leendert) de Knegt;M;185271;426;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
391;13;S. (Sytse) de Jong;M;185271;321;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
392;14;M. (Rien) Bogerd;M;185271;519;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
393;15;D. (Dick) van Meeuwen;M;185271;216;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
394;16;T. (Teun) van Oostenbrugge;M;185271;354;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
395;17;E.G. (Ewart) Bosma;M;185271;283;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
396;18;J. (Jan) Noeverman;M;185271;103;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
397;19;T. (Tom) Bakker;M;185271;137;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
398;20;R.A.C. (Richard) Donk;M;185271;91;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
399;21;J.J. (Jan) Luteijn;M;185271;94;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
400;22;M. (Marcel) de Haas;M;185271;104;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
401;23;L.G.I. (Leo) Barth;M;185271;81;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
402;24;P. (Peter) Schalk;M;185271;146;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
403;25;W. (Wim) van Wikselaar;M;185271;84;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
404;26;H. (Henk) Kievit;M;185271;84;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
405;27;A.I.G. (Ad) Dorst;M;185271;262;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
406;28;H.F. (Henk) Massink;M;185271;75;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
407;29;W. (Wim) de Vries;M;185271;134;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
408;30;J.W. (Jan Willem) Benschop;M;185271;304;SGP;3;3;30;0;49;51;0;0.0;186711.6;0.5
409;1;E.G.M. (Emile) Roemer;M;1235141;755765;SP;15;20;29;16;43;57;16;1.0;1244744.0;0.5
410;2;R.M. (Renske) Leijten;V;1235141;69146;SP;15;20;29;16;43;57;16;1.0;1244744.0;0.5
411;3;A.A.G.M. (Ronald) van Raak;M;1235141;4527;SP;15;20;29;16;43;57;16;1.0;1244744.0;0.5
412;4;H. (Harry) van Bommel;M;1235141;10021;SP;15;20;29;16;43;57;16;1.0;1244744.0;0.5
413;5;J.M.A.M. (Jan) de Wit;M;1235141;8977;SP;15;20;29;16;43;57;16;1.0;1244744.0;0.5
414;6;S. (Sadet) Karabulut;V;1235141;10572;SP;15;20;29;16;43;57;16;1.0;1244744.0;0.5
415;7;S.M.J.G. (Sharon) Gesthuizen;V;1235141;5155;SP;15;20;29;16;43;57;16;1.0;1244744.0;0.5
416;8;J.J. (Jasper) van Dijk;M;1235141;1506;SP;15;20;29;16;43;57;16;1.0;1244744.0;0.5
417;9;P. (Paul) Ulenbelt;M;1235141;958;SP;15;20;29;16;43;57;16;1.0;1244744.0;0.5
418;10;H.P.J. (Henk) van Gerven;M;1235141;2111;SP;15;20;29;16;43;57;16;1.0;1244744.0;0.5
419;11;M. (Manja) Smits;V;1235141;2783;SP;15;20;29;16;43;57;16;1.0;1244744.0;0.5
420;12;P.F.C. (Paulus) Jansen;M;1235141;994;SP;15;20;29;16;43;57;16;1.0;1244744.0;0.5
421;13;F. (Farshad) Bashir;M;1235141;2065;SP;15;20;29;16;43;57;16;1.0;1244744.0;0.5
422;14;C.J.E. (Nine) Kooiman;V;1235141;1435;SP;15;20;29;16;43;57;16;1.0;1244744.0;0.5
423;15;A.Z. (Arnold) Merkies;M;1235141;343;SP;15;20;29;16;43;57;16;1.0;1244744.0;0.5
424;16;E.M.A. (Eric) Smaling;M;1235141;626;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
425;17;M. (Michiel) van Nispen;M;1235141;1206;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
426;18;T.E. (Tjitske) Siderius;V;1235141;3009;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
427;19;L.P.M. (Leo) de Kleijn;M;1235141;1393;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
428;20;I. (Ike) Teuling;V;1235141;1434;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
429;21;N.M. (Nicole) van Gemert;V;1235141;1469;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
430;22;H.A.J.M. (Henri) Swinkels;M;1235141;880;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
431;23;M.M. (Maureen) van der Pligt;V;1235141;871;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
432;24;H.P.M. (Maarten) Hijink;M;1235141;283;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
433;25;N.T. (Tiers) Bakker;M;1235141;400;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
434;26;E. (Erik) de Vries;M;1235141;982;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
435;27;D.H. (Daniël) de Wit;M;1235141;417;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
436;28;A.M.T. (Anneke) Wezel;V;1235141;589;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
437;29;T.H.C. (Thijs) Coppus;M;1235141;1443;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
438;30;M.P. (Meta) Meijer;V;1235141;359;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
439;31;P.J. (Patrick) van Lunteren;M;1235141;441;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
440;32;C. (Chris) Schaeffer;M;1235141;130;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
441;33;F. (Femke) Reudler Talsma;V;1235141;400;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
442;34;H.J. (Hugo) Polderman;M;1235141;360;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
443;35;J.P. (Peter) Kwint;M;1235141;290;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
444;36;P.H. (Pim) Siegers;M;1235141;1035;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
445;37;R. (Lies) van Aelst;V;1235141;598;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
446;38;B. (Bart) van Kent;M;1235141;149;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
447;39;N.A. (Niels) Jongerius;M;1235141;175;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
448;40;L. (Lieke) van Rossum;V;1235141;691;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
449;41;H.M. (Hans Martin) Don;M;1235141;500;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
450;42;E. (Eelco) Eikenaar;M;1235141;1360;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
451;43;J.W. (Willem) Bouman;M;1235141;584;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
452;44;B. (Trix) de Roos-Consemulder;V;1235141;1613;SP;15;20;29;16;43;57;16;0.0;1244744.0;0.5
