;Plaats_Op_Lijst;Kandidaat;Geslacht;# stemmen partij;# stemmen kandidaat;Partij;Zetels;Peiling;Aantal Mannen;Aantal Vrouwen;Man_stem_percentage;Vrouw_stem_percentage;Max_Vrouwen_Volgens_Peilingen;Gekozen;# stemmen partij peiling;man-vrouw stemmen percentage peiling
51;18;B.A. (Bernard) Schermers;M;741084;477;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
52;19;P.C.A. (Patricia) de Milliano-van den Hemel;V;741084;6104;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
53;20;M.J. (Marc) Jager;M;741084;5237;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
54;21;H. (Harry) van der Molen;M;741084;1196;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
55;22;E.D. (Dinand) Ekkel;M;741084;594;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
56;23;P. (Arjan) Erkel;M;741084;3515;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
57;24;T. (Turan) Yazir;M;741084;4158;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
58;25;M.P.M. (Michiel) Holtackers;M;741084;347;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
59;26;E. (Elske) van der Mik;V;741084;949;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
60;27;D.S.C. (Dave) Ensberg-Kleijkers;M;741084;678;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
61;28;E. (Efstathios) Andreou;M;741084;137;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
62;29;W.J.F. (Wilma) van der Rijt-van der Kruis;V;741084;970;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
63;30;T. (Ties) Sweyen;M;741084;732;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
64;31;A.M.T. (Anne-Marie) Vreman-Muijrers;V;741084;406;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
65;32;D.Y.S. (Yang Soo) Kloosterhof;M;741084;487;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
66;33;N.E. (Nelleke) Weltevrede;V;741084;335;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
67;34;G.A. (Gerben) Karssenberg;M;741084;237;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
68;35;M. (Merijn) Snoek;M;741084;424;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
69;36;E. (Ebubekir) Öztüre;M;741084;6003;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
70;37;J.F. (Han) Hoogma;M;741084;1227;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
71;38;P.J.H.D. (Ellen) Verkoelen;V;741084;455;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
72;39;P.H. (Pieter) Omtzigt;M;741084;36750;CDA;13;12;39;17;60;40;12;1.0;746846.4;0.5
73;40;J. (Jobke) Vonk-Vedder;V;741084;221;CDA;13;12;39;17;60;40;12;0.0;746846.4;0.5
